enrollment,graderange,parentrating,school_type
555.6,['K-6' '3-6' 'K-12' '7-8' '9-12'],3.7,['public']
567.5,['K-5' '9-12' '6-8'],4.25,['public']
1040.0,['7-12' 'K-6' '7-8' 'PK-6' '9-12'],3.7777777777777777,['public']
821.5,['K-6' '10-12' '9-12' '7-8'],3.875,['public']
585.1428571428571,['K-12' '7-12' '9-12' 'K-6' 'K-8'],3.5714285714285716,['charter' 'public']
665.1428571428571,['K-5' 'K-6' '6-8' '9-12'],4.142857142857143,['public']
552.0769230769231,['K-8' 'K-5' 'K-12' '9-12' '6-8'],4.384615384615385,['public' 'charter']
637.1111111111111,['K-6' '9-12' 'K-5' '7-12' '7-8'],3.7777777777777777,['public' 'charter']
442.0315789473684,['K-8' 'PK-5' 'K-5' '6-8' '9-12' '6-12' 'PK-8' '5-8' 'K-6'],4.010526315789473,['charter' 'public']
977.1428571428571,['6-8' '9-12' 'PK-5' 'K-5' 'K-8'],4.0,['public']
868.3235294117648,['K-5' 'K-6' '6-8' 'K-8' '9-12' '1-5' 'PK-5' 'K-12'],4.0588235294117645,['public' 'charter']
420.8333333333333,['7-8' 'K-6' '9-12'],4.0,['public']
941.375,['K-6' 'PK-6' 'K-8' '9-12' 'K-5' '7-8' '6-8' 'PK-5'],3.5833333333333335,['public']
718.4285714285714,['K-6' '9-12' 'K-8' '6-8' '7-8'],3.5714285714285716,['public' 'charter']
524.0,['K-5' '6-8' '9-12'],3.5,['public']
657.0,['K-5' '9-12' '6-8'],4.4,['public']
360.0,['K-8' '9-12'],4.0,['public']
464.25,['K-5' 'K-8' 'K-3' '6-8' '9-12' 'K-6'],3.9166666666666665,['public']
1047.258064516129,['K-5' '9-12' '6-8' 'K-8' 'K-6' 'K-7'],3.7419354838709675,['public']
465.6,['K-5' 'K-8' '9-12' '6-8'],3.8,['public' 'charter']
598.875,['K-8' '6-8' '9-12' 'K-5'],4.5,['public']
1345.5,['K-5' '9-12'],3.5,['public']
932.75,['K-5' 'K-7' '9-12'],4.25,['public' 'charter']
990.0,['K-8' 'K-6' '7-8' '6-8' 'K-12' '9-12' 'K-4'],3.5757575757575757,['public' 'charter']
645.8461538461538,['K-5' '6-8' '9-12'],4.769230769230769,['public']
865.0,['K-5' '9-12' '6-8'],4.0,['public']
459.7142857142857,['K-8' '6-8' 'K-5' '9-12'],4.0,['charter' 'public']
772.25,['6-8' 'K-5' '4-8'],3.0,['public']
572.4,['K-6' '9-12' '7-8'],3.4,['public']
728.875,['K-5' 'PK-5' 'K-8' '9-12'],3.75,['public']
738.3333333333334,['PK-8' '6-8' 'K-5' '9-12'],4.333333333333333,['public']
1007.6,['K-5' '6-8' '9-12' 'K-8'],3.4,['public']
1077.9411764705883,['K-5' '5-12' '9-12' 'K-6' 'K-8' '7-8' '6-8'],3.8823529411764706,['public' 'charter']
508.55555555555554,['9-12' 'K-6' '7-8' '1-6' 'K-8'],4.055555555555555,['public' 'charter']
1115.25,['9-12' 'K-5' '6-8'],3.75,['public']
503.5,['K-5' '6-8'],4.0,['public']
555.0,['K-6' '7-8' '9-12' 'K-8'],3.5,['public']
427.0,['7-8'],4.0,['public']
887.9166666666666,['K-5' '6-8' '9-12'],3.4166666666666665,['public']
1115.25,['9-12' 'K-6' '7-8' 'K-5' '6-8'],4.25,['public']
591.4166666666666,"['6-8' '9-12' 'K-5' '4-8' '5-8' 'K-4' 'K-12' 'PK, 1-12' 'K-3']",3.75,['public' 'charter']
826.7777777777778,['9-12' 'K-5' '6-8'],3.888888888888889,['public']
1042.7857142857142,['K-5' '9-12' '6-8'],4.357142857142857,['public']
136.0,['9-12'],4.0,['public']
672.4705882352941,['PK-6' 'PK-8' '9-12' '6-8' '7-12' 'PK-5' '6-12'],3.6176470588235294,['public' 'charter']
670.5,['K-6'],3.5,['public']
753.5238095238095,['K-8' 'K-6' '7-8' '9-12' '6-8' 'K-5' 'K-12'],4.380952380952381,['public' 'charter']
295.5,['K-6' '7-12'],3.5,['public']
314.0,['4-8' 'K-3'],4.5,['public']
903.5,['K-5' '6-8' '9-12'],4.0,['public']
610.4615384615385,['K-6' '9-12' 'K-5' '6-8'],4.076923076923077,['public']
1073.7692307692307,['K-5' 'K-4' '6-8' '9-12' '5-8'],3.8461538461538463,['public']
682.3,['K-5' 'K-6' '6-8'],4.3,['public']
745.2857142857143,['K-5' '6-8' 'PK-6' 'K-6' '7-8'],4.142857142857143,['public']
545.75,['K-5' '6-8' 'K-8' '9-12'],4.125,['public' 'charter']
507.18518518518516,"['K-12' 'K-5' 'K-8' 'PK-9' 'K-4' '9-12' '5-8' '4-8' '6-8' '7-12' 'PK-5'
 '6-12']",3.962962962962963,['charter' 'public']
939.75,['9-12' '6-8' 'K-5' 'K-12' '7-12'],4.25,['public' 'charter']
840.5454545454545,['6-8' 'K-5' 'K-6' '9-12'],3.909090909090909,['public']
581.0952380952381,"['K-5' 'K-8' 'K-3, 6-7' '9-12' 'K-6' '6-8' '3-8' 'K-12' 'K-7']",4.095238095238095,['public' 'charter']
778.2,['K-5' '9-12' 'K-8'],2.8,['public']
946.0416666666666,['K-5' '9-12' '6-8'],3.625,['public']
547.6842105263158,['K-8' 'K-6' '9-12' '7-8' '5-12' '6-8'],3.6842105263157894,['charter' 'public']
591.7142857142857,['9-12' 'K-5' '6-8' 'K-8'],4.142857142857143,['public' 'charter']
165.5,['K-5' '6-8'],5.0,['public']
354.3333333333333,['K-5' '9-12' '6-8'],3.0,['public']
495.8333333333333,['K-8' '9-12'],4.333333333333333,['public']
654.5,['K-5' '9-12' 'K-8'],4.0,['public' 'charter']
860.44,['PK-6' 'K-6' 'K-5' '7-8' '9-12' '5-8' '6-8' 'K-12'],3.6,['public' 'charter']
660.0,['K-6' '7-8' 'K-8' '9-12' '6-12'],4.105263157894737,['public' 'charter']
519.625,['9-12' 'K-5' 'K-12' 'K-2'],4.25,['charter' 'public']
79.0,['10-12'],5.0,['public']
1204.0,['K-5' '9-12'],4.333333333333333,['public']
531.5,['K-6' 'PK-6'],4.5,['public']
719.8846153846154,['6-8' 'K-5' '4-6' 'K-12' 'PK-3' '9-12' '7-8'],4.115384615384615,['public' 'charter']
366.0,['K-8'],4.0,['public']
726.1315789473684,['K-8' 'K-6' '7-8' '6-8' '9-12' 'K-5' '4-6' 'K-3' '5-8' '3-6' 'K-12' '7-12'],3.8157894736842106,['public' 'charter']
788.7317073170732,['K-6' '9-12' '6-8' '7-8' 'K-5' 'K-12' 'K-8' 'K-3'],4.024390243902439,['public' 'charter']
535.5,['K-5' '9-12'],4.75,['public']
719.6875,['6-8' '9-12' 'K-12' 'K-6' '4-6' 'K-3' 'K-5' 'K-8' '6-12'],3.84375,['public' 'charter']
456.22222222222223,['K-5' '9-12' '7-9'],4.111111111111111,['public']
511.0,['K-4' '5-8' 'K-8'],4.0,['charter' 'public']
995.7142857142857,['K-5' '9-12' 'K-8' '6-8'],4.285714285714286,['public']
550.3979591836735,['K-5' '6-8' 'K-8' '9-12' 'K-6' 'K-4' '7-8' 'PK-5' '6-12' 'K-12' '5-8'],3.979591836734694,['public' 'charter']
746.6,['K-5' '6-8' '9-12'],4.0,['public']
988.4,['9-12' 'K-5' '6-8' 'PK-12'],3.8,['public' 'charter']
525.2674418604652,['9-12' 'K-5' '6-8' 'K-8' '5-8'],4.186046511627907,['public' 'charter']
922.6666666666666,['K-5' 'K-6' '9-12' '6-8'],4.111111111111111,['public']
856.0833333333334,['K-5' '6-8' '9-12' 'K-12'],3.6666666666666665,['public' 'charter']
724.7368421052631,"['9-12' '5-8' 'K-8' 'K-5' '6-8' 'K-6' 'PK-8' '7-8' 'PK-5' '4-8' 'K-12'
 'PK-9' 'K-3']",3.8526315789473684,['public' 'charter']
376.0,['9-12' 'K-8'],3.5,['public']
1015.0,['K-12' 'K-5' '9-12' '6-8'],4.0,['charter' 'public']
757.2307692307693,['6-8' 'K-5' '9-12'],3.8461538461538463,['public']
506.6666666666667,['K-6' '7-8' '9-12' '4-6'],4.444444444444445,['charter' 'public']
