CA - All Homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistic,,,Zillow Home Value Index,,,,,,Decreasing values (%),,,,Sold for loss (%),,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Increasing values (%),,,,Sold for gain (%),,,,Foreclosure re-sales (%),,,,Sold in past year (%),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,,Rent estimate / sq. ft. ($),,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Beaumont,city,All Homes,"$326,900",0.4%,2.1%,11.0%,10.5%,1.6%,5.5%,--0.0%,--3.0%,3.8%,---,---,---,---,16.2%,3.8%,7.7%,4.8%,$164,0.6%,1.9%,9.3%,3.0%,0.8%,0.9%,0.5%,"$348,600",1.1%,1.3%,9.0%,---,---,---,---,87.8%,--0.9%,5.8%,--8.4%,---,---,---,---,6.5%,--0.3%,--0.2%,--4.2%,5.6%,1.8%,--1.2%,--8.6%,$165,--0.2%,1.6%,9.8%,"$2,100",5.0%,10.2%,13.8%,$0.88,0.0%,0.4%,--1.2%,1.479,0.3%,--1.3%,0.3%,"$1,823",0.2%,0.6%,4.9%,$0.97,0.2%,0.6%,5.0%
Bell,city,All Homes,"$430,600",0.4%,1.6%,12.1%,10.6%,0.1%,2.9%,--0.4%,0.5%,1.3%,---,---,---,---,---,---,---,---,$325,0.3%,2.2%,8.3%,---,---,---,---,---,---,---,---,---,---,---,---,94.4%,0.3%,--1.8%,--1.2%,---,---,---,---,---,---,---,---,1.6%,6.4%,3.1%,--29.8%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,331",0.1%,--0.5%,3.1%,$2.01,0.1%,--0.2%,3.5%
Bell Gardens,city,All Homes,"$441,800",0.9%,2.1%,9.9%,9.3%,0.5%,8.9%,--0.8%,--3.4%,5.5%,---,---,---,---,---,---,---,---,$322,0.6%,2.9%,8.4%,---,---,---,---,---,---,---,---,---,---,---,---,84.4%,0.7%,2.9%,--7.5%,---,---,---,---,---,---,---,---,2.1%,0.0%,--3.3%,38.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,310",0.1%,--0.3%,2.4%,$2.06,0.2%,0.1%,3.2%
Bellflower,city,All Homes,"$520,000",0.5%,2.2%,9.2%,8.4%,1.6%,2.6%,--1.0%,--2.2%,--1.3%,---,---,---,---,14.4%,4.2%,6.7%,6.4%,$370,0.5%,2.8%,10.8%,2.7%,0.7%,0.6%,0.6%,"$544,000",3.6%,4.6%,19.7%,---,---,---,---,95.0%,1.8%,3.0%,2.9%,---,---,---,---,8.7%,3.6%,5.0%,2.9%,2.9%,3.2%,3.6%,--14.6%,$367,2.3%,3.4%,10.2%,---,---,---,---,---,---,---,---,0.72,--0.3%,---,---,"$2,446",0.2%,0.9%,2.9%,$1.83,0.6%,1.4%,4.5%
Belmont,city,All Homes,"$1,809,400",0.7%,3.4%,14.3%,12.6%,7.2%,0.6%,--0.3%,--0.7%,--36.4%,---,---,---,---,---,---,---,---,"$1,052",0.9%,3.8%,17.3%,---,---,---,---,---,---,---,---,---,---,---,---,99.0%,0.5%,1.0%,49.3%,---,---,---,---,---,---,---,---,2.9%,--5.2%,--7.8%,--7.4%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$4,652",--0.1%,--1.0%,0.5%,$2.74,--0.4%,--1.4%,0.1%
Benicia,city,All Homes,"$647,500",0.7%,2.3%,9.1%,10.7%,3.6%,8.6%,--1.3%,--3.1%,2.1%,---,---,---,---,---,---,---,---,$345,0.9%,2.7%,7.1%,---,---,---,---,"$639,000",--1.5%,1.6%,6.5%,---,---,---,---,83.5%,1.2%,3.0%,--3.8%,---,---,---,---,6.5%,--0.9%,1.2%,--1.7%,4.1%,--2.4%,--3.4%,--14.4%,$333,--2.5%,2.6%,8.7%,---,---,---,---,---,---,---,---,1.246,--0.5%,--0.2%,---,"$2,935",0.3%,0.7%,2.9%,$1.66,0.2%,0.7%,2.5%
Berkeley,city,All Homes,"$1,317,300",0.7%,3.6%,12.5%,11.8%,7.4%,5.3%,--4.1%,--2.2%,--3.2%,---,---,---,---,---,---,---,---,$846,0.5%,3.0%,11.0%,---,---,---,---,"$995,000",0.0%,--1.7%,10.8%,---,---,---,---,92.2%,5.8%,3.3%,4.8%,---,---,---,---,---,---,---,---,2.1%,--7.5%,--1.1%,--29.5%,$690,--1.7%,0.1%,10.7%,"$3,600",2.9%,7.5%,7.5%,$3.24,3.7%,4.1%,9.9%,---,---,---,---,"$3,751",--0.6%,0.0%,0.7%,$2.60,--0.3%,--0.2%,--0.2%
Beverly Hills,city,All Homes,"$3,462,800",0.6%,2.2%,11.5%,9.7%,5.7%,10.7%,--3.1%,--8.6%,--14.7%,---,---,---,---,4.6%,--4.7%,1.4%,--3.5%,"$1,246",0.6%,2.1%,9.4%,4.1%,--0.3%,--4.0%,--1.6%,---,---,---,---,---,---,---,---,85.8%,3.8%,10.1%,18.8%,---,---,---,---,---,---,---,---,3.7%,2.1%,--1.7%,--8.2%,"$1,595",0.9%,--0.5%,24.1%,"$7,680",2.3%,--4.0%,10.6%,$3.89,3.8%,2.9%,11.5%,1.774,0.1%,1.0%,0.0%,"$11,141",0.8%,1.4%,--1.9%,$3.99,0.5%,0.3%,--4.7%
Big Bear City,city,All Homes,"$232,300",0.5%,2.2%,12.0%,9.8%,1.4%,14.4%,0.1%,--3.4%,0.4%,---,---,---,---,13.4%,2.7%,2.9%,1.9%,$203,1.0%,2.5%,10.9%,2.9%,--1.6%,--1.4%,--0.2%,"$285,000",1.8%,3.6%,5.8%,"$241,300",0.6%,1.7%,20.1%,81.2%,--0.5%,4.2%,2.6%,---,---,---,---,5.3%,1.9%,0.4%,--1.1%,6.3%,--0.4%,7.3%,3.9%,$224,2.4%,4.7%,11.9%,---,---,---,---,---,---,---,---,1.897,--0.1%,--0.4%,0.4%,"$1,315",1.1%,1.1%,9.8%,$1.14,0.2%,0.2%,8.4%
Bishop,city,All Homes,"$392,700",--0.1%,0.4%,2.7%,6.1%,--0.3%,12.5%,1.9%,3.4%,--4.6%,---,---,---,---,---,---,---,---,$207,0.0%,0.5%,2.0%,---,---,---,---,"$422,500",--4.4%,0.7%,--0.6%,---,---,---,---,83.7%,--1.8%,--3.5%,5.1%,---,---,---,---,---,---,---,---,3.7%,--7.2%,0.8%,8.4%,$222,--0.6%,--2.6%,--4.7%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,006",0.0%,0.5%,6.5%,$1.15,--0.2%,--0.3%,4.9%
Bloomington,city,All Homes,"$310,100",0.2%,2.0%,10.0%,13.3%,0.7%,12.4%,0.2%,--0.9%,9.6%,---,---,---,---,---,---,---,---,$244,0.8%,3.0%,11.4%,---,---,---,---,"$314,900",5.0%,5.9%,7.3%,---,---,---,---,82.1%,--0.4%,2.2%,--12.4%,---,---,---,---,---,---,---,---,2.7%,7.6%,17.7%,--14.4%,$249,1.3%,--0.4%,10.8%,---,---,---,---,---,---,---,---,1.284,---,--2.6%,---,"$1,694",0.4%,1.2%,6.5%,$1.35,0.3%,1.0%,6.8%
Blythe,city,All Homes,"$145,000",--0.2%,1.4%,2.7%,10.7%,--0.6%,56.2%,--11.8%,0.5%,48.3%,---,---,---,---,---,---,---,---,$100,1.0%,1.0%,2.0%,---,---,---,---,---,---,---,---,---,---,---,---,37.3%,10.2%,1.6%,--51.2%,---,---,---,---,19.7%,14.6%,14.1%,--2.9%,4.8%,0.6%,10.3%,22.9%,$107,4.2%,8.9%,--1.1%,---,---,---,---,---,---,---,---,7.241,--2.1%,2.8%,5.0%,"$1,247",0.1%,--0.3%,4.8%,$0.98,--0.4%,0.6%,8.6%
Bonita,city,All Homes,"$669,000",0.7%,2.4%,5.6%,7.8%,2.0%,7.5%,--2.4%,--4.3%,--3.4%,---,---,---,---,---,---,---,---,$298,0.7%,2.1%,8.8%,---,---,---,---,"$735,000",0.6%,--6.8%,9.7%,"$716,900",3.6%,23.8%,17.5%,89.6%,3.5%,8.5%,14.3%,---,---,---,---,9.7%,--6.4%,4.9%,---,4.1%,2.1%,--1.5%,--1.5%,$312,2.4%,3.9%,3.8%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,917",--0.1%,0.5%,5.7%,$1.35,0.0%,0.1%,4.2%
Boulder Creek,city,All Homes,"$625,300",0.9%,2.9%,13.4%,13.6%,3.7%,2.6%,--2.1%,--3.7%,--15.5%,---,---,---,---,---,---,---,---,$466,0.9%,2.2%,10.2%,---,---,---,---,"$569,000",--13.7%,--11.0%,--0.2%,---,---,---,---,95.1%,2.5%,5.4%,22.8%,---,---,---,---,---,---,---,---,4.0%,--4.7%,--5.4%,--22.3%,$442,--2.6%,--10.8%,21.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Brawley,city,All Homes,"$178,300",0.7%,1.7%,7.0%,9.1%,0.7%,36.9%,--7.9%,--0.3%,23.6%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$239,900",4.8%,--3.3%,5.3%,---,---,---,---,56.9%,9.2%,2.8%,--24.9%,---,---,---,---,---,---,---,---,3.3%,--4.6%,--8.3%,--15.7%,---,---,---,---,---,---,---,---,---,---,---,---,3.059,--1.0%,--1.2%,0.7%,---,---,---,---,---,---,---,---
Brea,city,All Homes,"$729,300",0.5%,2.2%,6.7%,5.9%,3.0%,9.9%,--2.8%,--6.8%,3.5%,---,---,---,---,12.1%,0.0%,6.4%,0.0%,$374,0.5%,2.5%,6.3%,2.2%,0.3%,0.8%,0.2%,"$749,000",--0.8%,--2.1%,3.7%,"$714,200",--0.0%,2.8%,9.7%,81.0%,5.2%,11.7%,--2.9%,---,---,---,---,2.6%,0.5%,---,--1.8%,3.6%,--0.9%,1.4%,--14.8%,$392,1.3%,1.5%,6.4%,"$2,800",--0.9%,0.0%,2.8%,$1.68,1.4%,1.3%,--1.9%,1.611,0.1%,---,---,"$3,043",--0.2%,--0.1%,2.9%,$1.72,0.0%,0.4%,2.3%
Brentwood,city,All Homes,"$580,900",1.2%,2.7%,8.0%,10.3%,3.3%,6.9%,--3.2%,--6.5%,3.9%,---,---,---,---,7.0%,--1.2%,--3.9%,--1.7%,$264,0.8%,2.3%,7.8%,---,---,---,---,"$610,000",--1.5%,--0.8%,1.0%,---,---,---,---,87.9%,7.1%,12.3%,--5.2%,---,---,---,---,3.0%,--1.3%,--0.5%,0.1%,5.0%,1.3%,--0.8%,--15.2%,$257,1.1%,2.7%,10.0%,"$2,480",3.1%,3.1%,3.3%,$1.22,--1.9%,--0.1%,6.3%,0.799,0.3%,--0.1%,0.3%,"$2,575",0.4%,1.0%,3.2%,$1.18,0.3%,1.4%,4.4%
Buena Park,city,All Homes,"$580,600",0.3%,1.8%,7.7%,7.6%,2.5%,5.4%,--2.0%,--2.5%,--3.1%,---,---,---,---,9.5%,--1.1%,1.0%,3.4%,$394,0.0%,1.8%,8.2%,2.6%,--0.2%,0.4%,--0.6%,"$595,000",3.1%,4.6%,8.2%,"$566,100",--0.8%,--3.1%,3.8%,89.5%,4.7%,5.3%,5.1%,---,---,---,---,3.4%,0.8%,---,--0.2%,3.2%,--0.4%,--0.7%,--8.0%,$388,1.2%,4.2%,6.8%,"$2,580",--1.0%,--1.0%,--1.9%,$1.76,0.7%,2.8%,0.3%,1.036,0.0%,0.5%,0.7%,"$2,654",0.1%,0.2%,4.0%,$2.02,0.2%,0.9%,5.5%
Burbank,city,All Homes,"$794,900",0.5%,2.1%,8.8%,8.4%,3.6%,8.1%,--2.2%,--3.7%,2.8%,---,---,---,---,8.2%,--0.8%,2.4%,0.8%,$527,0.6%,2.1%,8.2%,2.7%,--0.1%,--0.7%,0.0%,"$789,000",--0.1%,1.1%,12.8%,"$768,500",0.5%,5.3%,9.6%,86.5%,3.1%,5.3%,--2.0%,---,---,---,---,1.8%,0.8%,0.1%,--2.2%,3.3%,0.8%,--1.2%,--12.8%,$533,0.2%,1.4%,8.6%,"$3,000",0.2%,3.6%,1.7%,$2.40,1.3%,2.0%,11.1%,---,---,---,---,"$3,204",0.0%,0.2%,2.5%,$2.21,0.0%,0.2%,2.3%
Burlingame,city,All Homes,"$2,294,800",1.2%,4.9%,20.6%,10.0%,6.4%,1.9%,--0.7%,--1.7%,--35.3%,---,---,---,---,---,---,---,---,"$1,213",1.0%,3.9%,17.2%,---,---,---,---,---,---,---,---,---,---,---,---,97.1%,1.3%,2.4%,46.6%,---,---,---,---,---,---,---,---,2.9%,0.5%,6.2%,--8.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$5,222",--0.3%,--1.4%,--3.2%,$2.92,--0.1%,--0.1%,--0.4%
Calabasas,city,All Homes,"$1,160,300",0.7%,2.7%,11.5%,6.3%,2.7%,12.0%,--3.1%,--5.5%,--4.6%,---,---,---,---,7.9%,0.1%,1.6%,--2.5%,$461,0.4%,2.2%,8.2%,2.8%,--1.2%,0.9%,--0.4%,"$1,399,000",--6.6%,--6.7%,--4.6%,---,---,---,---,82.8%,3.7%,6.3%,7.0%,---,---,---,---,1.7%,---,--2.9%,--2.9%,3.6%,0.4%,--2.9%,--24.1%,$454,--1.1%,1.1%,1.8%,---,---,---,---,$2.22,--2.2%,0.2%,4.0%,1.655,0.4%,---,0.5%,"$4,768",0.6%,1.5%,7.9%,$2.03,0.1%,0.3%,5.1%
Calexico,city,All Homes,"$219,000",0.5%,1.5%,4.7%,10.1%,0.2%,49.8%,0.7%,13.0%,43.6%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$245,000",2.1%,4.3%,1.0%,---,---,---,---,41.3%,--0.8%,--11.6%,--48.9%,---,---,---,---,---,---,---,---,2.6%,--9.5%,--10.8%,--15.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,304",--1.5%,0.4%,11.3%,$0.87,--0.9%,--1.1%,2.8%
California City,city,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,9.8%,--2.1%,4.9%,3.2%,---,---,---,---,---,---,---,---,"$165,000",1.9%,3.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,7.8%,--3.1%,--14.0%,--3.9%,7.4%,2.7%,7.8%,--1.0%,$106,3.1%,5.6%,20.1%,---,---,---,---,---,---,---,---,5.823,--2.2%,--2.4%,2.3%,"$1,094",0.6%,2.0%,6.6%,$0.72,0.3%,1.4%,7.8%
Calimesa,city,All Homes,"$348,500",1.0%,3.1%,11.3%,11.2%,2.2%,11.9%,0.6%,--5.9%,5.5%,---,---,---,---,---,---,---,---,$191,0.5%,0.5%,7.9%,---,---,---,---,"$325,000",--7.1%,--7.1%,--7.8%,---,---,---,---,82.8%,--0.9%,10.5%,--5.0%,---,---,---,---,7.7%,---,---,1.8%,5.3%,--2.7%,2.8%,--12.7%,$224,--0.7%,3.2%,31.3%,---,---,---,---,---,---,---,---,---,---,---,---,"$1,800",0.7%,2.2%,6.8%,$1.12,0.4%,1.1%,6.3%
Calipatria,city,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4.1%,6.5%,22.2%,37.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Calistoga,city,All Homes,"$825,200",0.1%,3.1%,10.4%,8.3%,3.3%,28.2%,6.0%,--2.5%,7.5%,---,---,---,---,---,---,---,---,$555,0.7%,1.8%,5.9%,---,---,---,---,---,---,---,---,---,---,---,---,64.5%,--7.0%,2.8%,--6.5%,---,---,---,---,---,---,---,---,3.1%,2.9%,--7.7%,--18.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$3,456",1.9%,8.1%,18.9%,$2.39,1.6%,6.1%,11.3%
Camarillo,city,All Homes,"$618,500",0.2%,2.0%,7.1%,6.8%,2.2%,11.4%,2.9%,1.6%,3.2%,---,---,---,---,13.0%,2.5%,6.8%,3.6%,$349,0.3%,2.3%,5.8%,1.8%,--0.3%,0.4%,--0.0%,"$610,000",--2.7%,--5.5%,--0.9%,"$593,300",--1.3%,--5.8%,4.6%,80.5%,--4.4%,--1.2%,--1.8%,---,---,---,---,0.5%,--0.6%,--1.6%,--1.5%,4.5%,--1.4%,0.0%,--10.6%,$354,0.7%,1.7%,4.7%,"$2,750",0.0%,3.8%,10.0%,$1.66,--0.1%,0.9%,--1.0%,0.721,--0.3%,0.2%,--0.1%,"$2,756",0.4%,0.8%,4.0%,$1.58,0.3%,0.0%,2.3%
Campbell,city,All Homes,"$1,455,900",2.2%,7.7%,28.0%,14.2%,7.5%,0.3%,--0.2%,--0.5%,--11.6%,---,---,---,---,---,---,---,---,$866,1.2%,6.0%,22.8%,---,---,---,---,"$1,298,900",--0.5%,--0.0%,8.3%,"$1,383,600",--5.7%,--1.7%,32.0%,99.6%,0.2%,0.7%,20.9%,---,---,---,---,---,---,---,---,4.2%,1.1%,6.7%,10.6%,$743,0.1%,5.7%,11.5%,"$3,350",4.7%,1.5%,12.7%,$2.68,5.1%,2.1%,8.7%,---,---,---,---,"$3,662",0.5%,1.2%,3.7%,$2.46,0.3%,1.1%,4.2%
Canyon Lake,city,All Homes,"$413,800",0.6%,2.3%,9.8%,9.1%,0.8%,16.4%,0.6%,--1.8%,--1.9%,---,---,---,---,18.4%,7.3%,7.1%,3.6%,$209,0.5%,2.0%,9.4%,2.8%,--1.6%,0.5%,1.0%,"$559,000",--0.1%,5.5%,30.2%,---,---,---,---,77.4%,--1.5%,0.7%,0.3%,---,---,---,---,3.1%,0.1%,--1.3%,--1.9%,6.7%,2.1%,15.4%,10.6%,$228,1.3%,--0.4%,10.1%,---,---,---,---,---,---,---,---,1.703,--1.1%,0.5%,---,"$2,111",0.4%,1.2%,4.8%,$1.06,0.2%,0.4%,4.1%
Capitola,city,All Homes,"$831,400",1.5%,4.7%,9.2%,10.5%,3.2%,4.7%,--1.8%,--3.1%,--14.7%,---,---,---,---,---,---,---,---,$607,0.7%,3.1%,10.2%,---,---,---,---,---,---,---,---,---,---,---,---,93.9%,2.3%,5.1%,27.4%,---,---,---,---,---,---,---,---,3.4%,--0.9%,1.0%,--10.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,953",0.3%,0.3%,3.5%,$2.55,0.8%,1.5%,5.7%
Carlsbad,city,All Homes,"$849,900",0.5%,2.1%,7.2%,7.5%,3.7%,6.7%,--2.6%,--9.0%,--2.2%,---,---,---,---,17.8%,4.8%,6.8%,5.8%,$397,0.5%,2.3%,7.3%,2.4%,--0.2%,--0.0%,0.4%,"$927,000",--5.8%,1.4%,5.6%,"$832,400",2.3%,3.5%,9.6%,89.4%,4.0%,13.7%,3.4%,---,---,---,---,1.1%,0.5%,--0.1%,--0.8%,4.8%,1.6%,1.6%,--11.6%,$400,1.0%,4.7%,9.1%,"$3,100",--1.6%,--3.0%,3.4%,$1.89,2.3%,4.4%,8.5%,0.582,0.1%,0.4%,0.0%,"$3,303",0.6%,1.3%,3.2%,$1.65,0.2%,0.9%,3.9%
Carmel-by-the-Sea,city,All Homes,"$1,299,600",0.6%,1.9%,3.5%,7.1%,1.7%,29.9%,--0.2%,--4.9%,7.8%,---,---,---,---,10.0%,2.0%,0.5%,--0.5%,$716,1.3%,2.9%,3.8%,6.3%,3.8%,1.5%,2.0%,"$1,997,500",--3.7%,11.3%,12.5%,---,---,---,---,64.6%,0.3%,5.8%,--8.5%,---,---,---,---,5.0%,---,---,2.5%,3.2%,--5.3%,--4.9%,--34.5%,$975,--1.9%,6.1%,6.8%,---,---,---,---,---,---,---,---,---,---,---,---,"$4,112",--0.3%,--1.9%,--3.2%,$2.47,--0.1%,--2.1%,--2.0%
Carmichael,city,All Homes,"$401,500",0.3%,2.4%,6.9%,8.2%,2.9%,12.7%,2.4%,--2.4%,5.6%,---,---,---,---,13.8%,0.0%,7.8%,4.1%,$236,0.4%,2.2%,7.8%,2.6%,--0.2%,0.4%,--0.6%,"$405,000",1.3%,--4.7%,3.8%,"$381,700",--3.7%,2.2%,14.2%,81.4%,--4.1%,3.3%,--6.5%,---,---,---,---,1.8%,--0.5%,--0.8%,--4.2%,4.2%,0.3%,--0.6%,--19.4%,$240,--1.4%,--1.5%,4.7%,"$1,570",--3.1%,--1.4%,5.9%,$1.14,0.5%,--2.3%,11.6%,0.846,--0.3%,--0.2%,0.3%,"$1,871",0.2%,0.6%,7.3%,$1.15,0.2%,0.9%,5.9%
Carpinteria,city,All Homes,"$837,700",0.2%,--0.4%,7.5%,5.9%,1.7%,22.4%,--1.3%,--2.3%,--2.1%,---,---,---,---,---,---,---,---,$587,0.0%,1.9%,8.5%,---,---,---,---,"$816,500",2.2%,--9.0%,--9.2%,---,---,---,---,70.0%,2.0%,6.6%,7.5%,---,---,---,---,---,---,---,---,3.6%,0.7%,1.4%,--2.6%,$587,10.2%,--4.6%,--9.5%,"$3,200",4.9%,--5.9%,--18.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Carson,city,All Homes,"$529,900",0.7%,3.1%,9.9%,9.0%,1.4%,4.5%,--1.8%,--1.8%,1.7%,---,---,---,---,8.4%,1.7%,3.7%,1.1%,$341,0.6%,2.1%,9.6%,3.9%,2.3%,1.4%,1.2%,"$505,000",2.0%,3.5%,9.8%,---,---,---,---,90.9%,3.7%,3.0%,--1.1%,---,---,---,---,7.9%,--0.7%,0.7%,1.9%,2.5%,0.4%,6.6%,--1.6%,$336,2.4%,4.3%,13.7%,"$2,710",--3.1%,4.3%,--0.9%,$1.81,--0.1%,--6.7%,1.5%,0.634,--0.3%,--0.7%,--0.1%,"$2,628",0.4%,1.1%,3.4%,$1.77,0.5%,1.1%,3.9%
Castaic,city,All Homes,"$568,200",0.6%,2.2%,8.7%,8.6%,1.6%,5.6%,--1.8%,--2.7%,--1.6%,---,---,---,---,7.8%,--3.8%,2.2%,0.5%,$286,0.0%,1.8%,7.9%,---,---,---,---,"$552,500",1.9%,1.5%,2.3%,"$550,600",2.8%,2.4%,7.9%,89.2%,1.4%,4.3%,1.3%,---,---,---,---,2.9%,---,1.2%,--1.4%,5.4%,3.6%,7.5%,11.6%,$287,0.5%,4.3%,10.8%,---,---,---,---,---,---,---,---,1.167,--1.0%,---,---,"$2,794",0.4%,0.6%,4.4%,$1.44,0.4%,0.7%,3.6%
Castro Valley,city,All Homes,"$856,300",0.7%,3.5%,11.2%,10.9%,4.6%,1.6%,--1.7%,--1.5%,--4.8%,---,---,---,---,2.4%,--1.9%,--0.5%,--1.2%,$491,1.0%,3.8%,11.1%,---,---,---,---,"$750,000",--2.5%,--2.5%,--1.6%,---,---,---,---,97.4%,4.1%,4.1%,9.8%,---,---,---,---,0.8%,--0.5%,---,---,3.2%,--5.4%,2.8%,--9.4%,$497,1.7%,3.0%,10.8%,"$2,900",--2.5%,--2.8%,5.5%,$2.05,4.6%,1.0%,4.8%,---,---,---,---,"$3,163",0.3%,0.3%,3.8%,$1.91,0.3%,1.0%,3.5%
Cathedral City,city,All Homes,"$281,800",0.5%,2.0%,10.3%,10.1%,0.8%,15.9%,1.3%,--3.6%,3.3%,---,---,---,---,13.3%,--1.2%,2.0%,--2.4%,$175,0.0%,1.2%,8.7%,2.9%,0.4%,0.1%,--0.3%,"$285,000",--1.4%,--0.2%,9.7%,"$276,100",2.9%,12.6%,10.0%,77.9%,--1.9%,4.7%,--2.7%,---,---,---,---,5.4%,--0.9%,0.9%,--4.5%,4.4%,0.3%,5.8%,--2.4%,$176,0.0%,3.0%,7.5%,"$1,800",5.6%,2.6%,12.2%,$1.27,4.7%,0.9%,16.4%,1.885,--0.2%,1.1%,0.2%,"$1,799",0.1%,0.4%,7.0%,$1.18,0.2%,1.0%,7.5%
Ceres,city,All Homes,"$282,100",0.8%,3.3%,8.8%,14.2%,2.5%,1.8%,0.1%,--0.2%,--0.2%,---,---,---,---,---,---,---,---,$182,0.6%,3.4%,9.0%,---,---,---,---,"$295,000",0.0%,2.6%,12.6%,---,---,---,---,97.5%,0.1%,1.4%,1.0%,---,---,---,---,7.8%,--2.2%,--5.5%,--1.2%,4.2%,2.5%,--0.8%,--11.1%,$186,2.3%,1.9%,14.2%,---,---,---,---,---,---,---,---,1.53,--0.4%,0.3%,0.3%,"$1,419",0.4%,--0.7%,4.0%,$0.93,0.2%,--0.6%,4.2%
Cerritos,city,All Homes,"$725,900",0.4%,1.9%,5.8%,5.2%,2.4%,9.7%,0.0%,--0.3%,3.4%,---,---,---,---,9.1%,--5.6%,1.8%,3.7%,$409,0.5%,2.5%,9.7%,---,---,---,---,"$749,000",1.5%,3.4%,0.5%,"$681,100",--0.9%,--7.3%,--0.1%,83.0%,0.3%,1.2%,--0.2%,---,---,---,---,3.0%,--2.1%,--0.4%,--4.7%,2.4%,3.7%,0.6%,--6.0%,$409,--0.0%,0.9%,9.1%,"$2,850",1.8%,1.8%,9.6%,$1.88,2.9%,6.8%,3.9%,0.445,---,---,--0.0%,"$2,828",0.5%,1.2%,4.6%,$1.65,0.5%,1.1%,4.6%
Chico,city,All Homes,"$325,600",0.3%,1.4%,6.7%,5.9%,1.1%,16.8%,2.6%,9.0%,10.8%,---,---,---,---,10.5%,1.0%,3.4%,2.3%,$211,0.0%,1.0%,8.2%,2.7%,0.1%,0.0%,--1.3%,"$350,000",0.3%,3.1%,8.2%,---,---,---,---,74.0%,--3.6%,--14.1%,--16.0%,---,---,---,---,1.3%,--0.9%,--0.5%,--1.2%,4.6%,--1.6%,3.9%,--12.5%,$219,1.3%,3.1%,7.9%,"$1,500",--0.2%,--8.5%,8.9%,$1.20,--1.6%,3.0%,2.0%,0.292,--0.3%,--0.4%,---,"$1,654",0.4%,2.2%,5.5%,$1.08,0.9%,3.6%,5.4%
Chino,city,All Homes,"$484,100",0.6%,2.3%,8.7%,9.0%,2.5%,3.5%,--0.1%,--1.7%,--4.3%,---,---,---,---,9.3%,3.6%,3.5%,--1.9%,$282,0.7%,2.2%,7.6%,1.8%,0.2%,--0.1%,0.1%,"$524,900",1.0%,6.0%,14.6%,"$487,000",0.1%,2.5%,10.8%,94.2%,0.3%,4.2%,10.5%,---,---,---,---,2.1%,0.0%,--2.0%,--2.0%,3.4%,--1.1%,--1.1%,--10.5%,$263,0.2%,1.1%,4.6%,"$2,400",0.0%,--2.0%,2.1%,$1.23,2.2%,3.8%,6.6%,---,---,---,---,"$2,248",0.1%,0.5%,4.2%,$1.38,0.3%,0.9%,4.7%
